Sample_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15
TCGA-T7-A92I-01,-0.7715835603274884,-0.3451811174621044,1.556812252703758,-4.166764209541338,-0.5964847503899033,-3.421829927314524,0.9009160311053923,0.280565988464365,0.33731253370536324,-2.010417962189274,0.22624324224144207,-0.2652432769058368,-0.7415339663793021,0.38158664076694493,0.27987829583092866
TCGA-CW-5590-01,0.3027896522569282,-0.06541368230315178,-0.5959360417056891,1.4425420151001853,-0.9307726637919095,2.0348554872537292,-3.0791149890387612,-0.2785009335147624,-0.9346971604791335,0.13564253940860527,0.17367487941229742,0.8894917187366136,1.4321655048136779,0.7810373063751866,0.18307745955888277
TCGA-BP-5168-01,1.6425789784348366,2.370443141628945,-1.53198243071608,0.44491616841671733,0.14606286270866417,-1.2053970649660766,0.4479372439315902,-0.18816108674461363,-0.029991686017976533,0.14942586556311926,-0.3881564582400049,0.04860610560984896,-0.08244300068995691,-1.3665418529832716,-0.6535365883873795
TCGA-CJ-4899-01,-0.1536882128565221,0.13351916154699509,1.3143077995462873,3.5568038649744644,0.780966488666031,-1.4494287289400711,0.33559077417822697,0.026105723223985383,-0.0184430326822885,-0.5437308911690389,0.027546245708449327,-0.5720515611117819,-1.8135146511866138,-2.5105277043995744,-0.6161547068770725
TCGA-BP-5174-01,1.110458199253675,1.0527955587448858,-0.7251364664600249,0.03496495047247497,0.34258451158223013,-2.0436050331830704,1.1016987400801754,-0.49091523441248847,0.19433681729211458,-0.03852150763070322,-0.22051400150414996,-0.2597515089548434,-0.873370815324434,0.9937379717938334,-0.6115605610243884
TCGA-BP-4342-01,0.15257240298659022,0.36930692725415015,0.8042360232311047,1.8444321309403433,-0.8450417014310458,3.057948454897661,0.07093867398314867,-1.133112385417017,-0.05404195415164088,1.5798840702018817,1.0373513847818132,2.468206752274482,-7.707055008755751,-2.284319224072213,0.02835689963926663
TCGA-CJ-5679-01,1.2884017454740586,1.827497935302604,-0.8240449833260847,-2.0235083457356837,-1.6770963452991459,3.9831315030397416,-0.16973341415131596,-0.05600505583251801,0.18099967438612907,0.1323495205746979,0.4635195769468073,0.04759935231287545,1.0731904667489163,0.5608339581862972,-0.2613566682042478
TCGA-A3-3382-01,0.8986124889808484,0.35648726554661986,-0.6896069760031565,-1.1085775543174785,-0.9010846971994999,5.27019225209125,0.3757146093685539,-1.3891423780893184,-0.2673605492253072,0.5505019855655967,0.7271281632212685,-0.28963842053236444,-1.8245376280787688,-2.771880105455907,0.36478511410721126
TCGA-BP-4169-01,-1.916377187757253,-2.300469728208612,1.0882019742329556,3.5144915262419465,-0.8072410259690773,-1.2423447819421365,0.03324602853942975,0.1863633804293861,0.05640498258536494,-0.302687391426417,0.4543518579464041,2.4289625817994738,-3.2094803031325965,-1.2761278724404084,-0.21577275571270946
TCGA-B0-4690-01,-2.3640773339736976,-3.847174016601549,1.3913680477894965,-0.6912101901406594,-1.4552339636455898,1.51367738415524,0.3445491980707527,1.148467278447681,0.3048955421855411,-0.0845040413330813,-0.35563318310417946,-0.0021894870325364158,-0.420354550945307,-0.34150418999621734,0.7434590349400787
TCGA-CJ-6033-01,-0.495077607044297,-0.5104890968883952,-0.23400890669402588,1.2540327788807182,-0.4365349887288485,1.3954660638340266,-0.457911031810731,-0.07623270809732059,-0.12548075075274998,0.3723607865686964,0.31048388598319104,0.12722755611344602,2.5173602880038195,-0.40411460983558684,-1.1882690091653207
TCGA-BP-4330-01,0.590271963272162,-1.9516693627851192,-0.19207068762930204,0.4581616046076696,1.787312200299651,-1.1912451305251817,-0.2860839550422625,-0.009788153788996978,-0.4353408875173971,0.007600856181147293,0.42720292347422345,0.24688638902439788,-5.903096575853603,-2.116502290313853,0.16228617201840548
TCGA-BP-4797-01,-0.5592289152449593,-2.740995011202717,0.34212391654059515,-0.4251225661794275,-0.058706159727988545,0.11551811677692232,0.9740384485870138,-2.77151916707197,-0.10149512738292613,1.2166719051388235,0.2886185965936036,-1.624210243339483,5.510609097082742,-0.7792741526860806,-0.28983797865095745
TCGA-B0-4694-01,-1.387634865692382,-3.6013341718206955,1.1230167373896984,-0.27877346853813306,0.30795305532364703,1.1343823176154897,0.684595903377473,1.5505370697959522,0.1361008536987491,-0.3835949195030524,-0.2287981523634832,-0.1579995029937207,-1.9455112703032091,0.6604257597118435,0.5145346870494049
